Rank,Name,Uploads,Subscribers,Views
385,SAS-ASMR,935,8.47M,"1,956,479,804"
386,MeghanTrainorVEVO,99,8.45M,"6,001,727,532"
387,First We Feast,514,8.44M,"1,353,233,207"
388,Miniminter,"1,679",8.44M,"3,068,045,029"
389,grav3yardgirl,"1,552",8.43M,"1,558,028,824"
390,FIFATV,"8,324",8.42M,"2,655,166,232"
391,はじめしゃちょー（hajime�…,"2,096",8.41M,"7,016,965,744"
392,TV Ana Emilia,215,8.37M,"2,311,486,246"
393,SuperMarioLogan,534,8.37M,"5,417,713,029"
394,Sonotek Haryanvi,"3,159",8.36M,"648,476,119"
395,So Yummy,314,8.35M,"2,210,533,918"
396,TsMadaan,"1,584",8.35M,"902,418,209"
397,Fortnite,363,8.34M,"1,082,283,216"
398,KSIOlajidebtHD V2,904,8.34M,"1,428,254,191"
399,freekickerz,"1,344",8.32M,"2,158,115,860"
400,НТВ,"42,768",8.31M,"8,172,489,678"
401,Karol Sevilla,243,8.29M,"738,191,240"
402,Kuplinov ► Play,"5,582",8.28M,"3,291,490,060"
403,Goldmines Movies,776,8.27M,"1,288,076,941"
404,ElTrollino,"1,411",8.27M,"2,163,303,909"
405,BRKsEDU,"4,327",8.25M,"1,608,650,984"
406,Muselk,"1,667",8.24M,"3,063,063,414"
407,Warner Bros. Pictures,"2,416",8.24M,"4,729,848,428"
408,Canal Top10,290,8.22M,"850,902,332"
409,Luan Palomera,662,8.22M,"1,142,962,659"
410,The Noite com Danilo Gentili,"7,179",8.2M,"2,294,875,907"
411,Denis,"2,153",8.19M,"3,265,749,570"
412,Matheus e Kauan,54,8.17M,"158,805,361"
413,Ja Mill,495,8.16M,"1,065,032,858"
414,Blippi Español,54,8.15M,"3,385,510,211"
415,Stacy Show,179,8.14M,"2,624,336,029"
416,DANIEL EL TRAVIESO VIDEOS,258,8.13M,"2,906,747,302"
417,Izabela Stress,766,8.11M,"2,638,922,034"
418,Afreim,"2,764",8.08M,"1,187,427,682"
419,Stone Music Entertainment,"5,933",8.06M,"5,758,507,075"
420,littlemixVEVO,155,8.06M,"4,871,582,756"
421,T-Series Regional,"15,470",8.05M,"3,358,347,850"
422,Facts Verse,"2,913",8.04M,"2,550,294,655"
423,Totoykids Español,372,8.04M,"3,081,524,020"
424,Yippee Toys,"1,846",8.01M,"3,445,590,215"
425,rsfriends,"3,167",8M,"5,623,924,239"
426,Desimpedidos,"2,335",7.99M,"1,845,624,907"
427,Dudu Moura,"3,145",7.99M,"2,069,409,810"
428,Power Vision,"1,021",7.97M,"2,436,143,123"
429,iDubbbzTV,271,7.97M,"1,268,725,992"
430,Gameplayrj,"15,464",7.96M,"3,070,342,437"
431,Ninja Kidz TV,159,7.96M,"3,064,213,667"
432,Tom Slime,964,7.95M,"2,553,947,033"
433,Sab kuchh sikho jano,"1,253",7.94M,"665,736,848"
434,Make Joke Of,28,7.94M,"1,007,324,068"
435,Аид [VyacheslavOO],"2,077",7.93M,"3,086,939,826"
436,هل تعلم؟,"1,168",7.91M,"803,929,624"
437,Kylie Jenner,123,7.9M,"391,503,791"
438,SmarterEveryDay,316,7.88M,"719,675,181"
439,TikTak Draw,738,7.87M,"1,346,636,181"
440,Howcast,"22,445",7.86M,"3,928,700,797"
441,TheTalko,"2,577",7.85M,"3,159,973,465"
442,EllieGouldingVEVO,103,7.84M,"5,252,441,533"
443,Bad Lip Reading,98,7.83M,"1,243,154,450"
444,Prince Royce,N/A,7.82M,N/A
445,Sofia Castro,128,7.82M,"542,300,792"
446,Muca Muriçoca,667,7.81M,"923,083,107"
447,DARK SECRETS,111,7.79M,"543,877,324"
448,Team Coco,"8,464",7.77M,"6,596,861,731"
449,Ice Cream Rolls,609,7.75M,"819,746,723"
450,Top Viral Talent,"1,704",7.75M,"4,450,454,386"
451,БЕРИ И ДЕЛАЙ,"3,072",7.74M,"1,482,991,177"
452,Star Casablanca | نجوم الد�…,680,7.74M,"2,914,480,179"
453,Big Marvel,256,7.7M,"987,361,092"
454,LastWeekTonight,299,7.69M,"2,359,762,053"
455,Rae Sremmurd,38,7.68M,"19,967,072"
456,Bollywood Classics,"1,345",7.68M,"3,158,868,729"
457,Vox,"1,134",7.66M,"1,833,239,548"
458,Marzia,6,7.65M,"22,640,677"
459,متع عقلك,"1,641",7.65M,"1,328,674,090"
460,PelucheEn ElEstuche,412,7.65M,"1,210,445,967"
461,Поззи,"2,544",7.64M,"3,855,142,152"
462,Deddy Corbuzier,526,7.63M,"956,797,756"
463,MBCkpop,"36,551",7.62M,"5,480,953,033"
464,Más SKabeche,335,7.61M,"1,106,810,746"
465,Mazhavil Manorama,"40,279",7.61M,"6,323,525,944"
466,karameeshchannel,"2,012",7.6M,"4,285,005,060"
467,Planet Earth INDIA,416,7.59M,"1,028,549,111"
468,Liova and Toys,15,7.57M,"893,991,757"
469,eltrece,"100,906",7.57M,"7,347,184,066"
470,Simply Nailogical,444,7.57M,"1,556,876,181"
471,AWE me,396,7.56M,"868,036,711"
472,Zig & Sharko,541,7.55M,"3,957,528,054"
473,Chotoonz TV - Funny Cartoons for K…,"1,499",7.5M,"4,692,288,464"
474,Thơ Nguyễn,992,7.5M,"4,823,088,232"
475,gymvirtual,950,7.5M,"1,100,543,737"
476,emimusic,302,7.49M,"258,088,401"
477,Sidemen,138,7.48M,"1,317,695,300"
478,Kids Play,240,7.48M,"2,367,241,008"
479,KendrickLamarVEVO,55,7.47M,"2,674,232,512"
480,Monstercat: Uncaged,"1,513",7.47M,"2,561,046,778"
481,LubaTV,"1,131",7.46M,"1,167,410,764"
482,Games EduUu,861,7.45M,"1,770,037,075"
483,Dharma Productions,"1,023",7.43M,"3,207,817,915"
484,Vlad dan Nikita,150,7.43M,"2,295,104,980"
485,Life Hacks & Experiments,613,7.42M,"2,514,440,809"
486,PinkVEVO,149,7.41M,"5,228,985,377"
487,Koo Koo TV - Hindi,437,7.4M,"2,213,137,383"
488,Travis Scott,8,7.39M,"8,326,004"
