Rank,Name,Uploads,Subscribers,Views,Uploads
1025,Bharat Tak,1,4.67M,"1,139,710,705","10,412"
1031,La Voz Kids Colombia,1,4.65M,"2,468,715,179","1,106"
1032,Whitney Houston,1,4.65M,"9,386,949",15
1035,108Life,1,4.63M,"814,787,454","1,116"
1037,Armada Music,1,4.63M,"3,148,528,129","12,039"
1042,Music Nepal,1,4.62M,"2,754,178,443","12,699"
1045,Juxiis,1,4.61M,"282,140,992",101
1049,Javier Ramirez,1,4.6M,"419,568,668",158
1050,Swan The Voice - Néo & Swan,1,4.6M,"4,355,976,663","1,623"
1052,Brianna's Secret Club TH,1,4.59M,"1,969,022,420","1,264"
1054,Tiësto,1,4.59M,"743,730,081",186
1058,RizaNovaUZ,1,4.58M,"4,612,908,556","12,325"
1060,Carlos Vives,1,4.57M,"79,983,464",138
1066,MondoMedia,1,4.55M,"2,896,920,978","1,528"
1068,Vilhena,1,4.54M,"569,479,955","1,163"
1073,Ярик Лапа,1,4.53M,"2,827,404,650","1,158"
1080,Flamingo,1,4.5M,"2,201,721,504","1,301"
1081,KOMPASTV,1,4.49M,"2,692,328,273","105,106"
1083,V6 News Telugu,1,4.48M,"3,440,293,907","138,209"
1085,Sabrina Carpenter,1,4.48M,"97,834,591",159
1090,TheBackyardScientist,1,4.46M,"564,625,597",157
1093,KRK Studio,1,4.45M,"822,789,142","1,240"
1096,Young Thug,1,4.45M,"2,258,817,512",183
1097,Sadhguru,1,4.44M,"487,777,486","1,684"
1099,Maria Way,1,4.43M,"289,602,749",127
1101,Primitive Survival Tool,1,4.42M,"521,919,735",102
1104,Oops Banana,1,4.42M,"1,625,806,278","1,269"
1105,Yandel,1,4.41M,"113,363,158",136
1106,Shot of The Yeagers,1,4.41M,"2,519,375,843","1,189"
1109,The Finest,1,4.4M,"1,014,159,081","1,167"
1117,ARY News,1,4.38M,"761,823,666","12,219"
1120,AndreasChoice,1,4.38M,"230,697,997",119
1121,Culinária em Casa,1,4.38M,"301,381,161","1,662"
1126,Amanda Domenico,1,4.37M,"298,831,078","1,231"
1127,Fluffy Jet Toys,1,4.37M,"2,669,329,288","1,414"
1135,SEB,1,4.35M,"513,299,804",121
1137,SlenderMan™,1,4.35M,"2,440,704,675","1,208"
1138,Blowek,1,4.34M,"815,367,979","1,271"
1140,El Fedelobo,1,4.34M,"652,406,459","1,702"
1142,TINI,1,4.33M,"73,718,356",103
1145,KYLE HANAGAMI,1,4.33M,"720,745,414",143
1151,CGMeetup,1,4.31M,"1,461,447,226","1,173"
1153,Pablo Alborán,1,4.3M,"3,062,039,419",180
